status_id,created_at,text,source,is_quote,is_retweet,favorite_count,retweet_count,place_url,place_name,place_full_name,place_type,country,country_code,hashtags
985916774460919810,2018-04-16T16:24:11Z,"400MM people live in the #BayofBengal area &amp; rely on it for food &amp; livelihoods

A FAO-@theGEF-#Norway🇳🇴-#Sweden🇸🇪 partnership enhanced the management of the bay &amp; its #fisheries - &amp; the lives of coastal communities

https://t.co/dDjsL3Xl6U #NoPoverty #UNFAOresults #ZeroHunger https://t.co/PMAjgr6wvb",Twitter Web Client,FALSE,FALSE,3,2,NA,NA,NA,NA,NA,NA,BayofBengal
985916774460919810,2018-04-16T16:24:11Z,"400MM people live in the #BayofBengal area &amp; rely on it for food &amp; livelihoods

A FAO-@theGEF-#Norway🇳🇴-#Sweden🇸🇪 partnership enhanced the management of the bay &amp; its #fisheries - &amp; the lives of coastal communities

https://t.co/dDjsL3Xl6U #NoPoverty #UNFAOresults #ZeroHunger https://t.co/PMAjgr6wvb",Twitter Web Client,FALSE,FALSE,3,2,NA,NA,NA,NA,NA,NA,Norway
985916774460919810,2018-04-16T16:24:11Z,"400MM people live in the #BayofBengal area &amp; rely on it for food &amp; livelihoods

A FAO-@theGEF-#Norway🇳🇴-#Sweden🇸🇪 partnership enhanced the management of the bay &amp; its #fisheries - &amp; the lives of coastal communities

https://t.co/dDjsL3Xl6U #NoPoverty #UNFAOresults #ZeroHunger https://t.co/PMAjgr6wvb",Twitter Web Client,FALSE,FALSE,3,2,NA,NA,NA,NA,NA,NA,Sweden
985916774460919810,2018-04-16T16:24:11Z,"400MM people live in the #BayofBengal area &amp; rely on it for food &amp; livelihoods

A FAO-@theGEF-#Norway🇳🇴-#Sweden🇸🇪 partnership enhanced the management of the bay &amp; its #fisheries - &amp; the lives of coastal communities

https://t.co/dDjsL3Xl6U #NoPoverty #UNFAOresults #ZeroHunger https://t.co/PMAjgr6wvb",Twitter Web Client,FALSE,FALSE,3,2,NA,NA,NA,NA,NA,NA,fisheries
985916774460919810,2018-04-16T16:24:11Z,"400MM people live in the #BayofBengal area &amp; rely on it for food &amp; livelihoods

A FAO-@theGEF-#Norway🇳🇴-#Sweden🇸🇪 partnership enhanced the management of the bay &amp; its #fisheries - &amp; the lives of coastal communities

https://t.co/dDjsL3Xl6U #NoPoverty #UNFAOresults #ZeroHunger https://t.co/PMAjgr6wvb",Twitter Web Client,FALSE,FALSE,3,2,NA,NA,NA,NA,NA,NA,NoPoverty
985916774460919810,2018-04-16T16:24:11Z,"400MM people live in the #BayofBengal area &amp; rely on it for food &amp; livelihoods

A FAO-@theGEF-#Norway🇳🇴-#Sweden🇸🇪 partnership enhanced the management of the bay &amp; its #fisheries - &amp; the lives of coastal communities

https://t.co/dDjsL3Xl6U #NoPoverty #UNFAOresults #ZeroHunger https://t.co/PMAjgr6wvb",Twitter Web Client,FALSE,FALSE,3,2,NA,NA,NA,NA,NA,NA,UNFAOresults
985916774460919810,2018-04-16T16:24:11Z,"400MM people live in the #BayofBengal area &amp; rely on it for food &amp; livelihoods

A FAO-@theGEF-#Norway🇳🇴-#Sweden🇸🇪 partnership enhanced the management of the bay &amp; its #fisheries - &amp; the lives of coastal communities

https://t.co/dDjsL3Xl6U #NoPoverty #UNFAOresults #ZeroHunger https://t.co/PMAjgr6wvb",Twitter Web Client,FALSE,FALSE,3,2,NA,NA,NA,NA,NA,NA,ZeroHunger
985916528108429312,2018-04-16T16:23:12Z,"RT @SeaAroundUs: Paper on deep-sea #fisheries collapse caused by bottom trawling got 1,000 views in 24 hours! https://t.co/ewPk9ejM5K | @Bl…",Twitter Web Client,FALSE,TRUE,0,4,NA,NA,NA,NA,NA,NA,fisheries
985916173740007425,2018-04-16T16:21:47Z,"#Salmon #fishing #aquaculture 
https://t.co/3Vxeq4l1yq",Twitter Web Client,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA,Salmon
985916173740007425,2018-04-16T16:21:47Z,"#Salmon #fishing #aquaculture 
https://t.co/3Vxeq4l1yq",Twitter Web Client,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA,fishing
